sample_id,site,genus,species,colony_tag,colony_depth_m,date_sampled,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,Orb.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,Orb.CT.sd,A.Orb,B.Orb,C.Orb,D.Orb
MR039,mermaid_reef,orbicella,faveolata,311,2.3,2019-01-24,NaN,NaN,NaN,21.872999999999998,29.1475,NA,NA,NA,0.04808326112068622,0.1704127342659577,0,0,0,124.6729932784724
MR040,mermaid_reef,orbicella,faveolata,304,2.3,2019-01-24,NaN,NaN,NaN,20.979,29.8615,NA,NA,NA,1.0337901140947323,0.07141778489984066,0,0,0,380.0393963767362
MR002,mermaid_reef,orbicella,faveolata,337,1.9,2019-01-24,NaN,NaN,NaN,24.244,29.2605,NA,NA,NA,0.04242640687119446,0.45749808742769515,0,0,0,26.06433544890813
MR004,mermaid_reef,orbicella,faveolata,301,2.2,2019-01-24,NaN,NaN,NaN,24.5875,33.3885,NA,NA,NA,0.06293250352560428,0.33021886681411683,0,0,0,359.16555091599236
MR001,mermaid_reef,orbicella,faveolata,305,2.2,2019-01-24,NaN,NaN,NaN,21.532,29.7425,NA,NA,NA,0.024041630560341854,0.12515790027001863,0,0,0,238.52640492783965
MR003,mermaid_reef,orbicella,faveolata,309,2.1,2019-01-24,NaN,NaN,NaN,26.113500000000002,33.758,NA,NA,NA,0.05303300858899056,0.7198347032479059,0,0,0,161.12149576748254
MR006,mermaid_reef,orbicella,faveolata,318,2.4,2019-01-24,NaN,NaN,NaN,25.5925,33.5955,NA,NA,NA,0.2170817818242691,0.38254476862192,0,0,0,206.57261079473477
MR007,mermaid_reef,orbicella,faveolata,315,1.8,2019-01-24,NaN,NaN,NaN,25.177500000000002,33.6565,NA,NA,NA,0.14354267658086872,1.4502760082136104,0,0,0,287.31812020346047
MR008,mermaid_reef,orbicella,faveolata,335,2.3,2019-01-24,NaN,NaN,NaN,22.384999999999998,30.860500000000002,NA,NA,NA,0.1131370849898477,0.41507168055650573,0,0,0,286.621926925332
MR009,mermaid_reef,orbicella,faveolata,324,2.3,2019-01-24,NaN,NaN,NaN,21.6445,31.055,NA,NA,NA,0.5409366876077093,0.8145870119269034,0,0,0,547.9897779279319
