* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-07-02 15:31:15 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Power Up SYBR_12.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-07-02 14:08:40 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	NOAMP	THOLDFAIL	DRNMIN	Tm1	Tm2	Tm3	Tm4
1	A1	false	MR001	Orb	UNKNOWN	SYBR	None	31.782	31.831	0.070								true	0.075	true	3	28	Amp		0.967	N	N	N	N	N	N				
2	A2	false	MR002	Orb	UNKNOWN	SYBR	None	29.345	31.251	2.695								true	0.075	true	3	26	Amp		0.976	N	N	Y	N	N	N				
3	A3	false	MR003	Orb	UNKNOWN	SYBR	None	33.096	33.598	0.710								true	0.075	true	3	28	Amp		0.986	N	N	Y	N	N	N				
4	A4	false	MR004	Orb	UNKNOWN	SYBR	None	32.758	33.054	0.418								true	0.075	true	3	29	Amp		0.980	N	N	N	N	N	N				
5	A5	false	MR005	Orb	UNKNOWN	SYBR	None	33.042	32.718	0.458								true	0.075	true	3	29	Amp		0.989	N	N	N	N	N	N				
6	A6	false	MR006	Orb	UNKNOWN	SYBR	None	33.182	33.442	0.367								true	0.075	true	3	29	Amp		0.975	N	N	N	N	N	N				
7	A7	false	MR007	Orb	UNKNOWN	SYBR	None	32.440	33.493	1.489								true	0.075	true	3	28	Amp		0.982	N	N	Y	N	N	N				
8	A8	false	MR008	Orb	UNKNOWN	SYBR	None	33.585	33.763	0.251								true	0.075	true	3	29	Amp		0.976	N	N	N	N	N	N				
9	A9	false	MR009	Orb	UNKNOWN	SYBR	None	34.339	33.920	0.593								true	0.075	true	3	30	Amp		0.976	N	N	Y	N	N	N				
10	A10	false	MR010	Orb	UNKNOWN	SYBR	None	32.633	33.205	0.808								true	0.075	true	3	28	Amp		0.984	N	N	Y	N	N	N				
11	A11	false	NPTC3	Orb	UNKNOWN	SYBR	None	21.503	21.464	0.055								true	0.075	true	3	17	Amp		0.980	N	N	N	N	N	N				
12	A12	false	NTC	Orb	UNKNOWN	SYBR	None	Undetermined										true	0.075	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
13	B1	false	MR001	Orb	UNKNOWN	SYBR	None	31.881	31.831	0.070								true	0.075	true	3	28	Amp		0.980	N	N	N	N	N	N				
14	B2	false	MR002	Orb	UNKNOWN	SYBR	None	33.157	31.251	2.695								true	0.075	true	3	28	Amp		0.965	N	N	Y	N	N	N				
