* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-06-25 09:17:44 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Power Up SYBR_09.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-06-24 16:30:48 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	NOISE	HIGHSD	NOAMP	PRFDROP	THOLDFAIL	Tm1	Tm2	Tm3	Tm4
40	D4	false	MR005	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y				
41	D5	false	SC002	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.040	true	3	31	No Amp		0.000	Y	N	N	N	N	N	N	Y				
42	D6	false	SC004	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.040	true	3	21	No Amp		0.000	Y	N	N	N	N	N	N	Y				
43	D7	false	SC011	A	UNKNOWN	FAM	NFQ-MGB	29.785	29.851	0.093								true	0.040	true	3	27	Amp		0.872	N	N	N	N	N	N	N	Y				
44	D8	false	PTC	A	UNKNOWN	FAM	NFQ-MGB	33.462	34.206	1.052								true	0.040	true	3	30	Amp		0.859	N	N	N	N	Y	N	N	Y				
45	D9	false	NPTC1	A	UNKNOWN	FAM	NFQ-MGB	34.807	32.929	2.655								true	0.040	true	3	32	Inconclusive		0.791	Y	N	N	N	Y	N	N	Y				
46	D10	false	NPTC2	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y				
47	D11	false	NEC7	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.040	true	3	22	No Amp		0.000	Y	N	N	N	N	N	N	Y				
48	D12	false	NTC	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.040	true	3	14	No Amp		0.000	Y	N	N	N	N	N	N	Y				
49	E1	false	MR003	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
50	E2	false	MR006	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
51	E3	false	MR004	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
52	E4	false	MR005	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
