* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-07-09 09:15:11 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Power Up SYBR_16.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-07-08 16:11:13 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	DRNMIN	NOAMP	THOLDFAIL	Tm1	Tm2	Tm3	Tm4
42	D6	false	MR026	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	28	No Amp		0.000	Y	N	N	N	Y	N				
43	D7	false	MR027	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	15	No Amp		0.000	Y	N	N	N	Y	N				
44	D8	false	MR028	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	9	No Amp		0.000	Y	N	N	N	Y	N				
45	D9	false	MR029	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N				
46	D10	false	MR030	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
47	D11	false	ABCD+CONTROL	A	UNKNOWN	FAM	NFQ-MGB	21.687	21.620	0.095								false	0.010	true	3	20	Amp		0.152	Y	N	N	N	N	N				
48	D12	false	NTC	A	UNKNOWN	FAM	NFQ-MGB	32.186	32.186									false	0.010	true	3	20	No Amp		0.000	Y	N	N	Y	Y	N				
49	E1	false	MRO21	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	30	No Amp		0.000	Y	N	N	N	Y	N				
50	E2	false	MR022	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
51	E3	false	MR023	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
52	E4	false	MR024	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
53	E5	false	MR025	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
54	E6	false	MR026	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
