Batch,Code,Site,Date,Latitude,Longitude,Zone,Subregion,Shelf,Ecoregion,Depth,NT,NC,ACER,APAL,AAGA,ATEN,AGAR,CNAT,DLAB,MALC,MCOM,MMEA,MCAV,OANN,OFAV,OFRA,PAST,PFUR,PPOR,PCLI,PSTR,SSID,SINT,%ACER,%APAL,%AAGA,%ATEN,%AGAR,%CNAT,%DLAB,%MALC,%MCOM,%MMEA,%MCAV,%OANN,%OFAV,%OFRA,%PAST,%PFUR,%PPOR,%PCLI,%PSTR,%SSID,%SINT
Bahamas-2018B,AB201,Mermaid Reef,2019-01-24,26.55366,-77.05274,inshore lagoon patch,Abacos Islands,Abaco Shelf,Bahamian,2.5,3,49,,,,,,,,,,,,,40,,8,,,,,,,,,,,,,,,,,,,82,,16,,,,,,
Bahamas-2019B,AB200A,Sandy Cay Reef - Fore reef,2019-05-26,26.39997,-76.9886,Fore,Abacos Islands,Abaco Shelf,Bahamian,6.3,2,55,,,13,,,1,1,,,,4,1,7,,13,1,5,,2,,,,,24,,,2,2,,,,7,2,13,,24,2,9,,4,,
